libelle_unite;type_materiel;code_unite_terminal_de_saisie
CIC BDRIJ GGD70;Scanner;20520
BP de Champagney;Scanner;04132
BTA  de Lure;Bloc optique;04131
BP de Luxeuil-les-Bains;Bloc optique;04136
BTA de Gray;Bloc optique;04145
CIC BDRIJ GGD71;Scanner;20452
PMO de Chalon-sur-Saône;Scanner;28200
BP d'Autun;Bloc optique;03892
BP de Louhans;Bloc optique;03931
CIC BDRIJ GGD72;Scanner;19670
BP de La-Chapelle-Saint-Aubin;Scanner;13473
BP d'Oisseau-le-Petit;Scanner;01325
BP de La-Ferté-Bernard;Bloc optique;01319
BTA  de Sablé-sur-Sarthe;Bloc optique;01313
BTA de La-Flèche;Bloc optique;01300
BP de Saint-Mars-la-Brière;Bloc optique;01294
BP de Mamers;Bloc optique;01316
CIC BDRIJ GGD73;Scanner;20146
BP de Montmélian;Scanner;02879
BP d'Albertville;Bloc optique;02890
BTA  de Saint-Jean-de-Maurienne;Bloc optique;02902
BTA de La-Motte-Servolex;Bloc optique;02880
CIC BDRIJ GGD74;Scanner;20163
BMO de Thonon-les-Bains;Scanner;21151
BTA Chamonix-Mont-Blanc;Scanner;02931
BP de Megève;Scanner;02933
BTA de Douvaine;Bloc optique;02958
BP d'Annecy-Meythet;Bloc optique;25927
BTA de Saint-Julien-en-Genevois;Bloc optique;02943
BTA  de Scionzier;Bloc optique;09053
BP de Sallanches;Bloc optique;02938
BTA de Bonneville;Bloc optique;02930
BTA de Reignier-Ésery;Bloc optique;02948
BTA d’Annecy-Seynod – depuis nov 2023;Bloc optique;09656
CIC BDRIJ GGD76;Scanner;19466
BTA de Saint-Romain-de-Colbosc;Scanner;00576
BTA de Neufchâtel-en-Bray;Scanner;00580
BTA  du Tréport;Bloc optique;15155
BTA  de Pavilly;Bloc optique;00600
BP de Duclair;Bloc optique;00557
BTA d'Yvetot;Bloc optique;00591
CIC BDRIJ GGD77;Scanner;20928
BTA de Nangis;Scanner;05299
BTA de La-Ferté-sous-Jouarre;Bloc optique;05264
BTA de Dammartin-en-Goële;Bloc optique;05287
BTA de Coubert;Bloc optique;05251
BTA de Mortcerf;Bloc optique;05265
BTA d'Esbly;Bloc optique;05288
CIC BDRIJ GGD78;Scanner;20877
GAR SRGAIR Vélizy-Villacoublay;Scanner;65030
PA de St Arnoult en Yvelines;Scanner;07438
BTA de Bonnières sur Seine ;Bloc optique;05118
BTA de Jouars-Pontchartrain;Bloc optique;05132
CIC BDRIJ GGD79;Scanner;19840
BP de Sauzé-Vaussais;Scanner;01916
BP de Thouars;Scanner;01907
BTA  de Saint-Maixent-l'École;Bloc optique;01895
BTA de Bressuire;Bloc optique;01899
BP de Melle;Bloc optique;01910
BP de Cerizay;Bloc optique;01903
BP de Parthenay;Bloc optique;01919
CIC BDRIJ GGD80;Scanner;19415
BP de Corbie;Scanner;00348
BP de Villers-Bocage;Scanner;00355
BP de Ham;Scanner;00393
BTA de Roye;Scanner;00384
BP d'Abbeville;Bloc optique;00360
BP de Péronne;Bloc optique;00388
BP de Friville-Escarbotin;Bloc optique;00364
BTA de Saint-Valery-sur-Somme;Bloc optique;00369
BP d'Albert;Bloc optique;00389
CIC BDRIJ GGD81;Scanner;20010
BTA de Lavaur;Scanner;02397
BTA de Graulhet;Bloc optique;02394
BTA de Gaillac;Bloc optique;02406
CIC BDRIJ GGD82;Scanner;20027
PMO de Montauban;Scanner;09392
BP de Grisolles;Scanner;02455
BP de Moissac;Bloc optique;02458
BP de Montech;Bloc optique;02460
BP de Caussade;Bloc optique;02438
BP de Valence;Bloc optique;02462
CIC BDRIJ GGD83;Scanner;20622
BGMAR de Toulon;Scanner;60551
PMO du Cannet-des-Maures;Scanner;31725
BTA de Grimaud;Scanner;04544
BP de Saint-Maximin-la-Sainte-Baume;Bloc optique;04537
BP des Arcs;Bloc optique;04519
BTA  de La-Farlède;Bloc optique;17760
BTA de Fayence;Bloc optique;04524
BP du Luc;Bloc optique;04526
BTA de Saint-Tropez;Bloc optique;04548
BTA de Sainte-Maxime;Bloc optique;04546
BTA de Bormes-les-Mimosas;Bloc optique;18881
BTA de Brignoles;Bloc optique;04530
CIC BDRIJ GGD84;Scanner;20639
BP d’Orange;Scanner;04604
BTA de Beaumes-de-Venise;Scanner;04605
BTA  de Sorgues;Bloc optique;04582
BTA  de Bollène;Bloc optique;04606
BP de Pertuis;Bloc optique;04591
BTA de l'Isle-sur-la-Sorgue;Bloc optique;04580
BTA de Saint-Saturnin-lès-Avignon;Bloc optique;04577
BTA de Le-Pontet;Bloc optique;04581
BTA d'Apt;Bloc optique;04585
BP de Pernes les Fontaines;Bloc optique;04600
CIC BDRIJ GGD85;Scanner;19687
BTA de l'Île-d'Yeu;Scanner;01367
BP de Sainte-Hermine;Scanner;01358
BP des Herbiers;Bloc optique;01341
BP de Montaigu-Vendée;Bloc optique;01343
BP de Challans;Bloc optique;01366
BTA  de Saint-Gilles-Croix-de-Vie;Bloc optique;01372
BTA de Fontenay-le-Comte;Bloc optique;01350
BP de La-Roche-sur-Yon;Bloc optique;01338
BTA du Poiré-sur-Vie;Bloc optique;01345
BP d'Essarts-en-Bocage;Bloc optique;01340
BTA de Mortagne-sur-Sèvre;Bloc optique;01344
BP de Luçon;Bloc optique;01354
BP de Pouzauges;Bloc optique;01357
BTA des Achards;Bloc optique;01368
BP de Talmont Saint Hilaire;Bloc optique;01374
BP de Saint-Jean-de-Monts;Bloc optique;01373
CIC BDRIJ GGD86;Scanner;19789
BP de Chauvigny;Scanner;01765
BP de Vivonne;Bloc optique;01743
BTA  de Jaunay-Marigny;Bloc optique;01737
BTA de Loudun;Bloc optique;01751
CIC BDRIJ GGD87;Scanner;19857
BP de Bellac;Scanner;01957
BP de Saint-Junien;Bloc optique;01970
CIC BDRIJ GGD88;Scanner;20299
BP de Vittel;Scanner;03413
